0{Xp, X90m, Xm, X90m, Idp, Idp, Xm}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp}
1{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, Idm, Ym}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90p, Idm}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Idp, Xm}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, Idp, Idm}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Idp, Xm}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Idp, Idp}
1{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Y90p, Idp, Y90p, Yp, 
 X90p, Xp, X90m, Idp, Idm, Idm}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Y90p, Idp, Y90p, Yp, 
 X90p, Xp, X90m, Idp, X90m, Idm, Y90m, Idm, X90m, Idp, X90m, Ym, X90p, Idp}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Y90p, Idp, Y90p, Yp, 
 X90p, Xp, X90m, Idp, X90m, Idm, Y90m, Idm, X90m, Idp, X90m, Ym, X90m, Idp, 
 X90p, Idm, Y90m, Xm, X90p, Idm, Idm, Xp}
1{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Y90p, Idp, Y90p, Yp, 
 X90p, Xp, X90m, Idp, X90m, Idm, Y90m, Idm, X90m, Idp, X90m, Ym, X90m, Idp, 
 X90p, Idm, Y90m, Xm, X90p, Idm, Y90m, Xp, Y90m, Idm, Y90p, Ym, Y90p, Xm, 
 X90m, Idm, Y90m, Xm, Y90p, Ym, X90m, Idm, Idp, Idm}
1{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Y90p, Idp, Y90p, Yp, 
 X90p, Xp, X90m, Idp, X90m, Idm, Y90m, Idm, X90m, Idp, X90m, Ym, X90m, Idp, 
 X90p, Idm, Y90m, Xm, X90p, Idm, Y90m, Xp, Y90m, Idm, Y90p, Ym, Y90p, Xm, 
 X90m, Idm, Y90m, Xm, Y90p, Ym, X90m, Idm, Y90p, Idm, Y90p, Xp, X90p, Idp, 
 Y90m, Yp, X90m, Idp, X90m, Idp, Y90p, Idm, X90m, Idm, Idp, Xm}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Y90p, Idp, Y90p, Yp, 
 X90p, Xp, X90m, Idp, X90m, Idm, Y90m, Idm, X90m, Idp, X90m, Ym, X90m, Idp, 
 X90p, Idm, Y90m, Xm, X90p, Idm, Y90m, Xp, Y90m, Idm, Y90p, Ym, Y90p, Xm, 
 X90m, Idm, Y90m, Xm, Y90p, Ym, X90m, Idm, Y90p, Idm, Y90p, Xp, X90p, Idp, 
 Y90m, Yp, X90m, Idp, X90m, Idp, Y90p, Idm, X90m, Idm, X90m, Xm, Y90m, Xp, 
 X90p, Idp, X90m, Ym, Y90p, Xm, X90p, Ym, Y90m, Yp, X90p, Idm, Y90m, Idp}
0{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Y90p, Idp, Y90p, Yp, 
 X90p, Xp, X90m, Idp, X90m, Idm, Y90m, Idm, X90m, Idp, X90m, Ym, X90m, Idp, 
 X90p, Idm, Y90m, Xm, X90p, Idm, Y90m, Xp, Y90m, Idm, Y90p, Ym, Y90p, Xm, 
 X90m, Idm, Y90m, Xm, Y90p, Ym, X90m, Idm, Y90p, Idm, Y90p, Xp, X90p, Idp, 
 Y90m, Yp, X90m, Idp, X90m, Idp, Y90p, Idm, X90m, Idm, X90m, Xm, Y90m, Xp, 
 X90p, Idp, X90m, Ym, Y90p, Xm, X90p, Ym, Y90m, Yp, X90p, Idm, X90m, Idp, 
 X90p, Yp, Y90m, Xp, Y90p, Idp, X90p, Xp, Y90p, Idm, Y90m, Idp, X90m, Idm, 
 X90p, Yp, Y90m, Idp, X90p, Idp, X90p, Xp, Y90p, Ym, Y90p, Idm, X90p, Idp, 
 X90m, Xm, Idp, Idm}
1{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Y90p, Idp, Y90p, Yp, 
 X90p, Xp, X90m, Idp, X90m, Idm, Y90m, Idm, X90m, Idp, X90m, Ym, X90m, Idp, 
 X90p, Idm, Y90m, Xm, X90p, Idm, Y90m, Xp, Y90m, Idm, Y90p, Ym, Y90p, Xm, 
 X90m, Idm, Y90m, Xm, Y90p, Ym, X90m, Idm, Y90p, Idm, Y90p, Xp, X90p, Idp, 
 Y90m, Yp, X90m, Idp, X90m, Idp, Y90p, Idm, X90m, Idm, X90m, Xm, Y90m, Xp, 
 X90p, Idp, X90m, Ym, Y90p, Xm, X90p, Ym, Y90m, Yp, X90p, Idm, X90m, Idp, 
 X90p, Yp, Y90m, Xp, Y90p, Idp, X90p, Xp, Y90p, Idm, Y90m, Idp, X90m, Idm, 
 X90p, Yp, Y90m, Idp, X90p, Idp, X90p, Xp, Y90p, Ym, Y90p, Idm, X90p, Idp, 
 X90m, Xm, X90p, Idm, Y90m, Idp, X90p, Xp, Y90m, Xp, Y90p, Idm, Y90m, Yp, 
 X90m, Idp, Y90m, Idm, Y90m, Xm, Y90p, Idm, Y90m, Idm, X90p, Idp, X90p, Xm, 
 Y90m, Yp, X90m, Idm, X90p, Idm, Idm, Ym}
1{Xp, X90m, Xm, X90m, Idp, X90m, Xm, X90p, Idp, X90m, Ym, X90m, Idm, Y90p, 
 Xm, Y90m, Xm, X90m, Idm, X90p, Xp, Y90m, Xm, Y90p, Xm, Y90p, Idp, Y90p, Yp, 
 X90p, Xp, X90m, Idp, X90m, Idm, Y90m, Idm, X90m, Idp, X90m, Ym, X90m, Idp, 
 X90p, Idm, Y90m, Xm, X90p, Idm, Y90m, Xp, Y90m, Idm, Y90p, Ym, Y90p, Xm, 
 X90m, Idm, Y90m, Xm, Y90p, Ym, X90m, Idm, Y90p, Idm, Y90p, Xp, X90p, Idp, 
 Y90m, Yp, X90m, Idp, X90m, Idp, Y90p, Idm, X90m, Idm, X90m, Xm, Y90m, Xp, 
 X90p, Idp, X90m, Ym, Y90p, Xm, X90p, Ym, Y90m, Yp, X90p, Idm, X90m, Idp, 
 X90p, Yp, Y90m, Xp, Y90p, Idp, X90p, Xp, Y90p, Idm, Y90m, Idp, X90m, Idm, 
 X90p, Yp, Y90m, Idp, X90p, Idp, X90p, Xp, Y90p, Ym, Y90p, Idm, X90p, Idp, 
 X90m, Xm, X90p, Idm, Y90m, Idp, X90p, Xp, Y90m, Xp, Y90p, Idm, Y90m, Yp, 
 X90m, Idp, Y90m, Idm, Y90m, Xm, Y90p, Idm, Y90m, Idm, X90p, Idp, X90p, Xm, 
 Y90m, Yp, X90m, Idm, X90p, Idm, X90m, Ym, Y90p, Idp, Y90p, Idm, Y90p, Idp, 
 X90m, Xp, Y90p, Idp, X90p, Ym, Y90m, Xm, Y90p, Xm, X90m, Idm, Y90m, Idm, 
 Y90m, Xm, X90m, Xp, X90p, Idm, X90m, Yp, Y90m, Idm, Idp, Ym}
0{Idm, X90m, Idm, X90m, Idp, Idp, Xp}
1{Idm, X90m, Idm, X90m, Idp, X90p, Xp, X90m, Xp}
1{Idm, X90m, Idm, X90m, Idp, X90p, Xp, X90m, Xp, Idm, Idp}
0{Idm, X90m, Idm, X90m, Idp, X90p, Xp, X90m, Xp, X90p, Idp, X90m, Xm}
1{Idm, X90m, Idm, X90m, Idp, X90p, Xp, X90m, Xp, X90p, Idp, X90p, Xm, Idm, 
 Idp}
0{Idm, X90m, Idm, X90m, Idp, X90p, Xp, X90m, Xp, X90p, Idp, X90p, Xm, Y90m, 
 Idp, Y90p, Idp, Idm, Xp}
0{Idm, X90m, Idm, X90m, Idp, X90p, Xp, X90m, Xp, X90p, Idp, X90p, Xm, Y90m, 
 Idp, Y90p, Idp, X90m, Xp, X90p, Idp, Idm, Idp}
0{Idm, X90m, Idm, X90m, Idp, X90p, Xp, X90m, Xp, X90p, Idp, X90p, Xm, Y90m, 
 Idp, Y90p, Idp, X90m, Xp, X90p, Idp, Y90p, Idp, Y90p, Idm, Idm, Yp}
