0.0000000000000000e+00 9.9974854011556613e-01 2.5139034568659457e-04 6.9490661936709038e-08
1.0000000000000001e-01 9.9890956922483942e-01 1.0891336326555718e-03 1.2933700535767726e-06
2.0000000000000001e-01 9.9735090919119329e-01 2.6415365537021968e-03 7.5035134571115765e-06
3.0000000000000004e-01 9.9493529222220234e-01 5.0375988758214630e-03 2.6784451251549392e-05
4.0000000000000002e-01 9.9152248020903855e-01 8.4033050902789057e-03 7.2856441158505202e-05
5.0000000000000000e-01 9.8697079305677082e-01 1.2858643061903154e-02 1.6626728973900563e-04
6.0000000000000009e-01 9.8113824142682771e-01 1.8515241156902968e-02 3.3541733894752420e-04
7.0000000000000007e-01 9.7388399452748209e-01 2.5473922181607440e-02 6.1750609020901949e-04
8.0000000000000004e-01 9.6507120132427815e-01 3.3821240279275716e-02 1.0593287021226929e-03
9.0000000000000002e-01 9.5457187088395434e-01 4.3624589194422254e-02 1.7174641995154958e-03
1.0000000000000000e+00 9.4227350062176818e-01 5.4926746432680029e-02 2.6570344780905333e-03
1.1000000000000001e+00 9.2808579257944013e-01 6.7742120570862180e-02 3.9482905435051022e-03
1.2000000000000002e+00 9.1194494846309082e-01 8.2057405380094095e-02 5.6610650354476932e-03
1.3000000000000000e+00 8.9381356933898548e-01 9.7837915220750402e-02 7.8583667646937860e-03
1.4000000000000001e+00 8.7367636557634309e-01 1.1503775022886403e-01 1.0591263227430028e-02
1.5000000000000000e+00 8.5153480718086105e-01 1.3360878283260813e-01 1.3896812726201137e-02
1.6000000000000001e+00 8.2740560535237551e-01 1.5350277001731635e-01 1.7799033938241272e-02
1.7000000000000002e+00 8.0132667424406867e-01 1.7466427564564041e-01 2.2310761114400907e-02
1.8000000000000000e+00 7.7336976703890958e-01 1.9701844626608514e-01 2.7433297872661279e-02
1.9000000000000001e+00 7.4365361378528194e-01 2.2046302697015072e-01 3.3151891836810873e-02
2.0000000000000000e+00 7.1234896879155851e-01 2.4487369405640480e-01 3.9427550424253624e-02
2.1000000000000001e+00 6.7967017201392077e-01 2.7012432286170968e-01 4.6187975083535539e-02
2.2000000000000002e+00 6.4585547974935908e-01 2.9611321417207764e-01 5.3321163498604537e-02
2.3000000000000003e+00 6.1114557059284147e-01 3.2278017526294966e-01 6.0674633498680144e-02
2.4000000000000004e+00 5.7577095410571189e-01 3.5010314599223946e-01 6.8062262544508548e-02
2.5000000000000000e+00 5.3995311595240203e-01 3.7807512584379627e-01 7.5279618180880817e-02
2.6000000000000001e+00 5.0391514310529906e-01 4.0667432420980254e-01 8.2126124820658564e-02
2.7000000000000002e+00 4.6789179495681565e-01 4.3584407006182496e-01 8.8427978665453488e-02
2.8000000000000003e+00 4.3213048643658847e-01 4.6549153482366051e-01 9.4052300822336662e-02
2.9000000000000004e+00 3.9688184156363188e-01 4.9550125803575440e-01 9.8905321572993227e-02
3.0000000000000000e+00 3.6238571818681575e-01 5.2575017869078178e-01 1.0291648861546036e-01
3.1000000000000001e+00 3.2886082605519695e-01 5.5611149093611190e-01 1.0602074968047354e-01
3.2000000000000002e+00 2.9650249562557773e-01 5.8644385647236952e-01 1.0815435713559074e-01
