3.0000000000000000e+00	9.7940347756618751e-03	1.7056975708266253e-02	1.1317481584374067e-02	2.2393876818638248e-04	4.8884522985370715e-04	3.9192633410408795e-02	2.0690884480045746e-04	
4.0000000000000000e+00	9.4907755809680028e-03	5.3380987046993678e-03	3.4263125649049986e-03	5.0500089402438775e-06	7.7608917825378043e-05	1.2215682248048254e-02	9.8759547428883820e-08	
5.0000000000000000e+00	6.2198630656500331e-03	2.9096281988736372e-03	1.9982552386824670e-03	3.8831614651568813e-06	5.7375272973780866e-05	4.9430759221442688e-03	9.7435617574248568e-08	
6.0000000000000000e+00	3.1406385946223248e-03	1.3660030139034385e-03	9.3812293229300625e-04	1.3676091964454073e-06	2.0520103564014569e-05	2.5469573154398573e-03	9.8679779236832132e-08	
7.0000000000000000e+00	1.7445979755854601e-03	8.3066721490510087e-04	5.8032585892675570e-04	1.4051410649473794e-06	1.7061031308052144e-05	1.3559902423679882e-03	9.3186197869243870e-08	
8.0000000000000000e+00	1.0390322475902769e-03	4.6616990086034704e-04	3.2692877163675860e-04	4.7152032967012758e-07	7.2079114131762267e-06	8.3356002174717059e-04	9.6234990087928907e-08	
9.0000000000000000e+00	6.5809980753173125e-04	3.1575216507295778e-04	2.2509425002259498e-04	7.8190862462523825e-07	6.6013159466526972e-06	5.0903154641857018e-04	9.6301911445273447e-08	
1.0000000000000000e+01	4.3506117355418539e-04	2.0253816357840293e-04	1.4137539432901303e-04	2.4254097619191839e-07	3.0643748740732946e-06	3.4602805644978751e-04	9.6667969295971545e-08	
1.1000000000000000e+01	2.9967619785442601e-04	1.4447072025525198e-04	1.0316484925676495e-04	4.1811943873870661e-07	3.4901268936016194e-06	2.3112997191176987e-04	9.9133859232658494e-08	
1.2000000000000000e+01	2.1246707300326406e-04	1.0011728132464093e-04	6.9240472818643539e-05	2.2043350678124796e-07	1.7257853044405636e-06	1.6794983253420881e-04	9.7556886569094559e-08	
1.3000000000000000e+01	1.5510257463391408e-04	7.5335664022957438e-05	5.4366779413062005e-05	3.0950991081191148e-07	1.9019838980449677e-06	1.1944581138445542e-04	9.7536106080653440e-08	
1.4000000000000000e+01	1.1559787069259642e-04	5.4816183733152890e-05	3.9674457238847438e-05	1.3887130179135454e-07	9.9469713399358284e-07	9.0938344924129666e-05	9.4599640787507155e-08	
