1.5000000000000000e+01	-2.0037393965161157e-01	-2.4882397158481626e-01	2.8414950184544852e-01	-9.3599958270652317e-03	6.4505402680721791e-01	8.2398072086459995e-01	
1.6000000000000000e+01	2.0095850866247114e-01	1.4486424223373415e-01	-9.3767002422021198e-02	3.4415397013855137e-01	1.0338713680551721e+00	1.3701534617553248e+00	
1.7000000000000000e+01	-3.0104917551030186e-01	1.2860580981810650e+00	-6.4575804289772332e-02	-1.7760737678113689e-01	8.6519732157010454e-01	9.4672765650168411e-01	
1.8000000000000000e+01	-4.7130768170443560e-01	1.9007377144348465e+00	-1.6435031019255164e-01	6.6189968241707572e-02	8.9541637566658505e-01	8.6468217748435316e-01	
1.9000000000000000e+01	-9.4692601740573840e-02	6.5189732516054999e-01	-4.1053249584944168e-01	-2.1968168738062072e-01	5.5309886953472109e-01	1.1028099756700964e+00	
2.0000000000000000e+01	4.9128622220067052e-02	1.7605470786709392e+00	-3.5559077773729836e-01	2.2323193378603123e-01	3.1073047793970000e-02	9.4314729163569733e-01	
2.1000000000000000e+01	1.6311302201484293e-01	3.7438114596229000e-01	1.8014092034976115e-01	9.6276547579549246e-02	1.4943059636253424e+00	1.2722610595041239e-01	
2.2000000000000000e+01	-1.8820533374889870e-01	6.1839043301904595e-01	-1.5376566273379619e-01	6.1421639547786615e-02	1.2318793829678927e+00	7.0830188515051351e-01	
2.3000000000000000e+01	-4.9813255073884843e-02	6.8597053311016565e-01	1.9141322793207616e-02	1.4346009805058321e-01	6.5167885816268567e-01	1.3850640726206191e+00	
2.4000000000000000e+01	-2.9420311816049097e-02	1.0506098914832989e+00	-7.0150707877624535e-02	5.5017385267700658e-01	1.2467071296399026e+00	8.4511997496947644e-01	
2.5000000000000000e+01	-1.4923252012783467e-02	2.5373149282365753e-01	1.1088865994096891e-01	2.9999937191375836e-01	5.5160336338523930e-01	1.0027400353004876e+00	
