9.9999999999999995e-07	9.9939896269078121e-01	1.5010417277487110e-04	1.5039375260404169e-04	2.2588305716777152e-08	1.5028438503623601e-04	2.2571879834411981e-08	2.2615425240559826e-08	3.3967111685436181e-12	1.5011949770316323e-04	2.2547114667752508e-08	2.2590612418780433e-08	3.3929844198623369e-12	2.2574184803038340e-08	3.3905171611593320e-12	3.3970581114728232e-12	5.1021924643128179e-16
3.0000000000000001e-06	9.9758315734714120e-01	6.0248996126640241e-04	6.0651197228999494e-04	3.6630255416375094e-07	6.0506910727356846e-04	3.6543125180257266e-07	3.6787072266067055e-07	2.2217530912216111e-10	6.0057899048859831e-04	3.6271946655632195e-07	3.6514084306343714e-07	2.2052661149843645e-10	3.6427239398268534e-07	2.2000218146428715e-10	2.2147082012075681e-10	1.3375717971630853e-13
4.9999999999999996e-06	9.9455673872512795e-01	1.3527987280276322e-03	1.3726262182539889e-03	1.8670469283493491e-06	1.3655801484179660e-03	1.8574657331116439e-06	1.8846894602505727e-06	2.5635555926600062e-09	1.3411202827528935e-03	1.8241959288566227e-06	1.8509321585064780e-06	2.5176396791522559e-09	1.8414363948661358e-06	2.5047274061404064e-09	2.5414371509686746e-09	3.4568651766643508e-12
6.9999999999999999e-06	9.9035429897196137e-01	2.3868816672146828e-03	2.4488967233807063e-03	5.9021283480099888e-06	2.4268748510070390e-03	5.8490813274747249e-06	6.0010451024659835e-06	1.4463221967820714e-08	2.3480199365182213e-03	5.6590366351420393e-06	5.8060637742000974e-06	1.3993308496817792e-08	5.7539082773267967e-06	1.3867674540897007e-08	1.4227958404949051e-08	3.4291080886358162e-11
9.0000000000000002e-06	9.8503920926180366e-01	3.6813776207933026e-03	3.8316109650326090e-03	1.4319673345655837e-05	3.7781208138654800e-03	1.4119933324999756e-05	1.4696124901034883e-05	5.4923030618268034e-08	3.5852369658211972e-03	1.3399104377808480e-05	1.3945885790978455e-05	5.2119334549999760e-08	1.3751524422999466e-05	5.1393560074735327e-08	5.3490688319147184e-08	1.9990833338841297e-10
1.1000000000000000e-05	9.7870081841858014e-01	5.2046880253201087e-03	5.5135895341146216e-03	2.9320308322889969e-05	5.4030947281654548e-03	2.8733414658037234e-05	3.0438637328743947e-05	1.6186733526541052e-07	5.0062361797833617e-03	2.6623077906502168e-05	2.8203079806212295e-05	1.4997981511630701e-07	2.7639228523061433e-05	1.4698490965737364e-07	1.5570740349623093e-07	8.2802880863787585e-10
1.2999999999999999e-05	9.7145069750680813e-01	6.9182744123075686e-03	7.4847267396838087e-03	5.3300740955340569e-05	7.2808579957315779e-03	5.1851271720503460e-05	5.6096311601541417e-05	3.9947668852518942e-07	6.5563542515082599e-03	4.6692100895756661e-05	5.0514833593615411e-05	3.5973293793994030e-07	4.9143315363894714e-05	3.4998165549124172e-07	3.7863218531256213e-07	2.6963647213176995e-09
1.4999999999999999e-05	9.6341816784551382e-01	8.7781858078987904e-03	9.7326236961992676e-03	8.8671936879921968e-05	9.3865544751770662e-03	8.5525547178767687e-05	9.4823379013997741e-05	8.6391580806725035e-07	8.1755425565363093e-03	7.4492610836949779e-05	8.2591230807537724e-05	7.5248330423539013e-07	7.9666491865623839e-05	7.2589200027646234e-07	8.0479851957390763e-07	7.3324619075357261e-09
1.7000000000000000e-05	9.5474537734808584e-01	1.0736715409050688e-02	1.2243266273007945e-02	1.3766614012831219e-04	1.1692270173778418e-02	1.3148683704138303e-04	1.4993365460602202e-04	1.6858873447140992e-06	9.8013034185807750e-03	1.1022450621857560e-04	1.2568896384657861e-04	1.4133099712128439e-06	1.2006098134683134e-04	1.3501926800535385e-06	1.5395923806385954e-06	1.7311933933725421e-08
1.8999999999999998e-05	9.4558219584107972e-01	1.2744088068726227e-02	1.5001699457104726e-02	2.0214703066696391e-04	1.4167895339774115e-02	1.9094757999551384e-04	2.2476674462656104e-04	3.0287145704680641e-06	1.1371635084210305e-02	1.5326673191966826e-04	1.8041369307395867e-04	2.4311506990249338e-06	1.7044676131423042e-04	2.2972752377281251e-06	2.7040883256560181e-06	3.6438676692747175e-08
